Date,CategoricalFeature1,CategoricalFeature2,Activity1,Activity2,Target,Activity3,Activity4,Activity5,Activity6,Activity7,Activity8,Activity9,Activity10,Activity11,Activity12,Activity13,Activity14,Activity15,Activity16
1/3/2015,Cat_1,Cat_2,NA,55480,479,30813,41176,NA,NA,1107,NA,11006,35248,134414,154138,81985,NA,37956,NA
1/3/2015,Cat_3,Cat_2,NA,15068,86,6887,11869,NA,NA,163,NA,2674,10642,33555,42354,23131,NA,10167,NA
1/3/2015,Cat_1,Cat_3,NA,1324,47,1202,1295,NA,NA,60,NA,458,440,1699,2132,1161,NA,565,NA
1/3/2015,Cat_3,Cat_3,NA,367,45,491,374,NA,NA,33,NA,131,136,595,622,446,NA,133,NA
1/3/2015,Cat_1,Cat_4,NA,10171,199,10651,8199,NA,NA,439,NA,2556,6269,12667,15033,8438,NA,8239,NA
1/3/2015,Cat_3,Cat_4,NA,1571,28,1711,1311,NA,NA,62,NA,255,586,1932,2456,1244,NA,800,NA
1/3/2015,Cat_1,Cat_5,NA,69269,601,32812,44836,NA,NA,1001,NA,14357,38868,122970,122608,72968,NA,44845,NA
1/3/2015,Cat_3,Cat_5,NA,21319,187,10334,17058,NA,NA,454,NA,4137,12858,36011,45964,24920,NA,12735,NA
1/3/2015,Cat_1,Cat_6,NA,30,NA,30,NA,NA,NA,47,NA,NA,NA,27,30,NA,NA,32,NA
1/3/2015,Cat_4,Cat_6,NA,15626,797,109062,89346,NA,NA,18870,NA,59363,60000,198392,263367,52520,NA,85089,NA
1/3/2015,Cat_1,Cat_7,NA,8587,189,13307,8173,NA,NA,2050,NA,1538,3957,9441,10706,6373,NA,3811,NA
1/3/2015,Cat_3,Cat_7,NA,1763,69,1822,1257,NA,NA,706,NA,259,864,2131,2625,1445,NA,1030,NA
1/3/2015,Cat_1,Cat_8,NA,135003,1031,44653,71387,NA,NA,1814,NA,23749,92323,227007,269326,122401,NA,123703,NA
1/3/2015,Cat_3,Cat_8,NA,36527,277,16540,26408,NA,NA,857,NA,5807,29995,71101,85000,45712,NA,44221,NA
1/3/2015,Cat_1,Cat_9,NA,6034,129,5541,5658,NA,NA,162,NA,1586,4474,11119,12837,6672,NA,6757,NA
1/3/2015,Cat_3,Cat_9,NA,3950,85,1446,7381,NA,NA,83,NA,1602,3796,5596,8730,4178,NA,3378,NA
1/4/2015,Cat_1,Cat_1,NA,4403,57,3717,3439,NA,NA,28,NA,950,2894,6280,7784,3787,NA,2449,NA
1/4/2015,Cat_3,Cat_1,NA,1157,29,844,627,NA,NA,30,NA,285,712,1543,2079,908,NA,551,NA
1/4/2015,Cat_1,Cat_10,NA,317,29,601,255,NA,NA,113,NA,75,281,502,663,425,NA,326,NA
1/4/2015,Cat_3,Cat_10,NA,53,27,59,41,NA,NA,59,NA,48,62,56,87,57,NA,27,NA
1/4/2015,Cat_1,Cat_11,NA,27,NA,48,31,NA,NA,27,NA,NA,31,28,28,33,NA,29,NA
1/4/2015,Cat_1,Cat_2,NA,59281,450,25629,40291,NA,NA,596,NA,9854,34308,130121,162540,67106,NA,41259,NA
1/4/2015,Cat_3,Cat_2,NA,15891,156,5943,11114,NA,NA,111,NA,2971,12800,36451,50325,22095,NA,12687,NA
1/4/2015,Cat_1,Cat_3,NA,915,61,796,1189,NA,NA,64,NA,376,367,1497,1905,1023,NA,443,NA
1/4/2015,Cat_3,Cat_3,NA,294,60,263,345,NA,NA,42,NA,53,158,590,660,455,NA,114,NA
1/4/2015,Cat_1,Cat_4,NA,12095,131,8619,7153,NA,NA,204,NA,2233,7245,12984,17213,8037,NA,8921,NA
1/4/2015,Cat_3,Cat_4,NA,1700,40,1879,1135,NA,NA,44,NA,347,784,1782,2278,1103,NA,923,NA
1/4/2015,Cat_1,Cat_5,NA,55740,613,28610,41119,NA,NA,508,NA,13492,44018,112531,135854,63007,NA,49538,NA
1/4/2015,Cat_3,Cat_5,NA,20422,216,8790,15655,NA,NA,186,NA,3546,15955,42181,49570,25899,NA,13251,NA
1/4/2015,Cat_1,Cat_6,NA,27,NA,27,NA,NA,NA,33,NA,NA,NA,30,29,NA,NA,29,NA
1/4/2015,Cat_4,Cat_6,NA,18140,822,104643,104941,NA,NA,10635,NA,74969,60350,283733,389798,144798,NA,74767,NA
1/4/2015,Cat_1,Cat_7,NA,8862,228,10758,7657,NA,NA,1668,NA,1555,4343,11346,11699,6265,NA,4824,NA
1/4/2015,Cat_3,Cat_7,NA,2014,86,1410,1548,NA,NA,667,NA,394,1223,2006,3086,1360,NA,1348,NA
1/4/2015,Cat_1,Cat_8,NA,124795,1174,39915,83307,NA,NA,970,NA,22753,98704,208639,250054,129673,NA,142831,NA
1/4/2015,Cat_3,Cat_8,NA,42644,312,14611,32516,NA,NA,265,NA,4808,34731,72004,93699,47122,NA,51888,NA
1/4/2015,Cat_1,Cat_9,NA,7127,80,5556,5450,NA,NA,85,NA,1604,5095,10738,16410,7418,NA,7211,NA
1/4/2015,Cat_3,Cat_9,NA,5016,115,1295,7808,NA,NA,45,NA,1752,3988,6445,11058,4952,NA,3341,NA
1/5/2015,Cat_1,Cat_1,NA,6141,84,8185,4792,NA,NA,53,NA,1538,3278,9318,11651,6105,NA,3392,NA
1/5/2015,Cat_3,Cat_1,NA,876,41,1191,830,NA,NA,28,NA,240,314,1340,1476,766,NA,317,NA
1/5/2015,Cat_1,Cat_10,NA,321,47,616,250,NA,NA,132,NA,117,231,563,824,408,NA,199,NA
1/5/2015,Cat_3,Cat_10,NA,77,32,62,29,NA,NA,33,NA,42,86,53,56,59,NA,56,NA
